"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"paired-comparison history fit bootstrap top-up","dichotomous, 6 objects x 30 judges","total pairwise chi-square Type I error",800,800,0,0,0,159200,159200,0,0,NA,NA,NA,NA,NA,NA,NA,0.04375,0.00723152279087883,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history-dich-topup.R","cb32949b55afde91dcb29b30806f52d9","0b76116+dirty","daddaa5c5222","2026-08-31","fresh seeds 201:1000; B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 159200 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap top-up","dichotomous, 6 objects x 30 judges","pair chi-square joint-adjusted familywise error",800,800,0,0,0,159200,159200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.00692820323027551,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history-dich-topup.R","cb32949b55afde91dcb29b30806f52d9","0b76116+dirty","daddaa5c5222","2026-08-31","fresh seeds 201:1000; B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 159200 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap top-up","dichotomous, 6 objects x 30 judges","object fit-residual joint-adjusted familywise error",800,800,0,0,0,159200,159200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05125,0.00779610780293603,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history-dich-topup.R","cb32949b55afde91dcb29b30806f52d9","0b76116+dirty","daddaa5c5222","2026-08-31","fresh seeds 201:1000; B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 159200 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap top-up","dichotomous, 6 objects x 30 judges","judge fit-residual joint-adjusted familywise error",800,800,0,0,0,159200,159200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04625,0.0074255418573327,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history-dich-topup.R","cb32949b55afde91dcb29b30806f52d9","0b76116+dirty","daddaa5c5222","2026-08-31","fresh seeds 201:1000; B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 159200 bootstrap refits did not converge; 0 otherwise failed"
"paired-comparison history fit bootstrap top-up","dichotomous, 6 objects x 30 judges","judge fit-residual marginal Type I error",800,800,0,0,0,159200,159200,0,0,NA,NA,NA,NA,NA,NA,NA,0.0429166666666667,0.00126589120038792,NA,NA,NA,NA,0,0,0,0,0,0,"tools/simval/studies/cj-fit-bootstrap-history-dich-topup.R","cb32949b55afde91dcb29b30806f52d9","0b76116+dirty","daddaa5c5222","2026-08-31","fresh seeds 201:1000; B = 199; exposure 0.5 and carry-over 0.4 fitted jointly; 0 of 159200 bootstrap refits did not converge; 0 otherwise failed"
