"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"scree conditional reference","PCM, null","simulated upper-tail dimensionality decision",192,200,0,0,8,NA,NA,NA,NA,NA,NA,NA,-0.00476126418368983,0.0329359987377336,NA,NA,NA,NA,0.00520833333333334,0.00519475225850079,0.0416666666666667,0.0144212219842328,NA,NA,0,0,0,0,0.04,0.013856406460551,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","dfdfaebe35b7aaa6dd393e2c67a0c083","git:86ddf2c+dirty","a08dd5272e69","2026-09-06","generating/fitted model PCM; PC1 observed/null-mean ratio 0.9952; PC1 observed/null-critical ratio 0.9091; PC1 rejection 0.005; family rejection 0.042; 10 components; 9500/9600 conditional draws used in total, with 0 non-converged and 100 other failures; largest attainable level 0.0392"
"scree conditional reference","RSM, null","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.00305121532732278,0.0328499349380281,NA,NA,NA,NA,0.00999999999999999,0.00703562363973514,0.04,0.013856406460551,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","dfdfaebe35b7aaa6dd393e2c67a0c083","git:86ddf2c+dirty","a08dd5272e69","2026-09-06","generating/fitted model RSM; PC1 observed/null-mean ratio 1.0031; PC1 observed/null-critical ratio 0.9175; PC1 rejection 0.010; family rejection 0.040; 10 components; 9988/10000 conditional draws used in total, with 0 non-converged and 12 other failures; largest attainable level 0.0392"
"scree conditional reference","sparse PCM, null","simulated upper-tail dimensionality decision",0,200,0,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","dfdfaebe35b7aaa6dd393e2c67a0c083","git:86ddf2c+dirty","a08dd5272e69","2026-09-06","generating/fitted model PCM; PC1 observed/null-mean ratio NaN; PC1 observed/null-critical ratio NaN; PC1 rejection NaN; family rejection NaN; 10 components; 0/0 conditional draws used in total, with 0 non-converged and 0 other failures; largest attainable level 0.0392"
"scree conditional reference","PCM, second dimension","simulated upper-tail dimensionality decision",196,200,0,0,4,NA,NA,NA,NA,NA,NA,NA,0.939698380300269,0.0811373063258442,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0.02,0.00989949493661166,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","dfdfaebe35b7aaa6dd393e2c67a0c083","git:86ddf2c+dirty","a08dd5272e69","2026-09-06","generating/fitted model PCM; PC1 observed/null-mean ratio 1.9397; PC1 observed/null-critical ratio 1.7700; PC1 rejection 1.000; family rejection 1.000; 10 components; 9695/9800 conditional draws used in total, with 0 non-converged and 105 other failures; largest attainable level 0.0392"
"scree conditional reference","RSM, second dimension","simulated upper-tail dimensionality decision",200,200,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.94446227544661,0.0827806017284898,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/scree-conditional-reference.R","dfdfaebe35b7aaa6dd393e2c67a0c083","git:86ddf2c+dirty","a08dd5272e69","2026-09-06","generating/fitted model RSM; PC1 observed/null-mean ratio 1.9445; PC1 observed/null-critical ratio 1.7780; PC1 rejection 1.000; family rejection 1.000; 10 components; 9992/10000 conditional draws used in total, with 0 non-converged and 8 other failures; largest attainable level 0.0392"
