"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"explanatory-repeated-person","20 persons; 2 rows/person; null","coefficient null rejection",1000,1000,0,0,0,0,0,NA,NA,NA,NA,0,-0.00403550573162754,0.16557780326697,0.159700638357352,1.03680113598836,0.948,0.00702111102319284,0.052,0.00702111102319284,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/explanatory-repeated-person.R","1cb7c6c6630fcc08dafb6310366fc838","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; one centred continuous item predictor; response rows for each person share theta; linearised delete-one-person covariance and t reference with contributing-person df"
"explanatory-repeated-person","40 persons; 2 rows/person; null","coefficient null rejection",500,500,0,0,0,0,0,NA,NA,NA,NA,0,-0.0054596469543308,0.110501496683597,0.113090101895754,0.977110240695134,0.966,0.00810481338464989,0.034,0.00810481338464989,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/explanatory-repeated-person.R","1cb7c6c6630fcc08dafb6310366fc838","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; one centred continuous item predictor; response rows for each person share theta; linearised delete-one-person covariance and t reference with contributing-person df"
"explanatory-repeated-person","80 persons; 4 rows/person; null","coefficient null rejection",500,500,0,0,0,0,0,NA,NA,NA,NA,0,0.00110733030892044,0.0580703291482515,0.0563476477159876,1.03057237528258,0.94,0.0106207344378814,0.06,0.0106207344378814,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/explanatory-repeated-person.R","1cb7c6c6630fcc08dafb6310366fc838","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; one centred continuous item predictor; response rows for each person share theta; linearised delete-one-person covariance and t reference with contributing-person df"
"explanatory-repeated-person","20 persons; alternating 1/4 rows; null","coefficient null rejection",2000,2000,0,0,0,0,0,NA,NA,NA,NA,0,-0.00161333198956861,0.148146652643102,0.144040707546759,1.02850544937104,0.9365,0.005452877680638,0.0635,0.005452877680638,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/explanatory-repeated-person.R","1cb7c6c6630fcc08dafb6310366fc838","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; one centred continuous item predictor; response rows for each person share theta; linearised delete-one-person covariance and t reference with contributing-person df"
"explanatory-repeated-person","40 persons; 2 rows/person; beta=0.30","coefficient power",500,500,0,0,0,0,0,NA,NA,NA,NA,0.3,-0.00148663962355168,0.1156867908435,0.11422062593773,1.01283625346764,0.954,0.00936845771725528,NA,NA,NA,NA,0.706,0.0203746901816936,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/explanatory-repeated-person.R","1cb7c6c6630fcc08dafb6310366fc838","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; one centred continuous item predictor; response rows for each person share theta; linearised delete-one-person covariance and t reference with contributing-person df"
