"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"frame-unit-multiplicity","EFRM: 2 groups x 2 sets, 100 persons/group, 4 items/set","probability of any raw omnibus p below .05",483,1000,493,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122153209109731,0.0149000675734517,NA,NA,0.493,0.0158098387088547,0.024,0.00483983470792134,"tools/simval/studies/frame-unit-multiplicity.R","45abbc7d7938f9fc2416d2dbbf356eeb","08675af+dirty","7356d398664f","2026-08-27","hybrid covariance B=80; Holm is applied across two omnibus tests and separately across all individual unit contrasts"
"frame-unit-multiplicity","EFRM: 2 groups x 2 sets, 100 persons/group, 4 items/set","Holm familywise error: omnibus decisions",483,1000,493,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0517598343685301,0.0100804993791102,NA,NA,0.493,0.0158098387088547,0.024,0.00483983470792134,"tools/simval/studies/frame-unit-multiplicity.R","45abbc7d7938f9fc2416d2dbbf356eeb","08675af+dirty","7356d398664f","2026-08-27","hybrid covariance B=80; Holm is applied across two omnibus tests and separately across all individual unit contrasts"
"frame-unit-multiplicity","EFRM: 2 groups x 2 sets, 100 persons/group, 4 items/set","probability of any raw follow-up p below .05",483,1000,493,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122153209109731,0.0149000675734517,NA,NA,0.493,0.0158098387088547,0.024,0.00483983470792134,"tools/simval/studies/frame-unit-multiplicity.R","45abbc7d7938f9fc2416d2dbbf356eeb","08675af+dirty","7356d398664f","2026-08-27","hybrid covariance B=80; Holm is applied across two omnibus tests and separately across all individual unit contrasts"
"frame-unit-multiplicity","EFRM: 2 groups x 2 sets, 100 persons/group, 4 items/set","Holm familywise error: individual unit follow-ups",483,1000,493,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0248447204968944,0.00708239884621186,NA,NA,0.493,0.0158098387088547,0.024,0.00483983470792134,"tools/simval/studies/frame-unit-multiplicity.R","45abbc7d7938f9fc2416d2dbbf356eeb","08675af+dirty","7356d398664f","2026-08-27","hybrid covariance B=80; Holm is applied across two omnibus tests and separately across all individual unit contrasts"
"frame-unit-multiplicity","BTL-EFRM: 2 panels x 2 sets, 12 judges, 6 objects/set","probability of any raw omnibus p below .05",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,0.0100115433375679,NA,NA,0,0,0,0,"tools/simval/studies/frame-unit-multiplicity.R","45abbc7d7938f9fc2416d2dbbf356eeb","08675af+dirty","7356d398664f","2026-08-27","judge bootstrap B=100; Holm is applied across three omnibus tests and separately across all panel-unit, set-unit and set-origin contrasts"
"frame-unit-multiplicity","BTL-EFRM: 2 panels x 2 sets, 12 judges, 6 objects/set","Holm familywise error: omnibus decisions",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,0.00512552436341883,NA,NA,0,0,0,0,"tools/simval/studies/frame-unit-multiplicity.R","45abbc7d7938f9fc2416d2dbbf356eeb","08675af+dirty","7356d398664f","2026-08-27","judge bootstrap B=100; Holm is applied across three omnibus tests and separately across all panel-unit, set-unit and set-origin contrasts"
"frame-unit-multiplicity","BTL-EFRM: 2 panels x 2 sets, 12 judges, 6 objects/set","probability of any raw follow-up p below .05",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,0.0100115433375679,NA,NA,0,0,0,0,"tools/simval/studies/frame-unit-multiplicity.R","45abbc7d7938f9fc2416d2dbbf356eeb","08675af+dirty","7356d398664f","2026-08-27","judge bootstrap B=100; Holm is applied across three omnibus tests and separately across all panel-unit, set-unit and set-origin contrasts"
"frame-unit-multiplicity","BTL-EFRM: 2 panels x 2 sets, 12 judges, 6 objects/set","Holm familywise error: individual unit follow-ups",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.00442718872423573,NA,NA,0,0,0,0,"tools/simval/studies/frame-unit-multiplicity.R","45abbc7d7938f9fc2416d2dbbf356eeb","08675af+dirty","7356d398664f","2026-08-27","judge bootstrap B=100; Holm is applied across three omnibus tests and separately across all panel-unit, set-unit and set-origin contrasts"
