"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"tailored-bootstrap-topup","N=300; I=8; two hardest items guess=0.15; chance=.25; B=399","mean planted-item detection proportion (Holm adjusted)",80,80,0,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1125,0.0294665117795727,0,0,0,0,"tools/simval/studies/tailored-bootstrap-topup.R","b63f0c874c74f09b712f8afc7e4ee5bc","abd6a9a+dirty","360e3609691b","2026-08-21","Monte Carlo SE uses per-replicate planted-item proportions"
"tailored-bootstrap-topup","N=300; I=8; two hardest items guess=0.15; chance=.25; B=399","probability of detecting at least one planted item",80,80,0,0,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.0424816136699161,0,0,0,0,"tools/simval/studies/tailored-bootstrap-topup.R","b63f0c874c74f09b712f8afc7e4ee5bc","abd6a9a+dirty","360e3609691b","2026-08-21",""
"tailored-bootstrap-topup","N=300; I=8; two hardest items guess=0.15; chance=.25; B=399","familywise false flag among the six unplanted items",80,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.0174553000547112,NA,NA,0,0,0,0,"tools/simval/studies/tailored-bootstrap-topup.R","b63f0c874c74f09b712f8afc7e4ee5bc","abd6a9a+dirty","360e3609691b","2026-08-21",""
"tailored-bootstrap-topup","N=300; I=8; two hardest items guess=0.30; chance=.25; B=399","mean planted-item detection proportion (Holm adjusted)",80,80,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16875,0.0343839890433272,0,0,0,0,"tools/simval/studies/tailored-bootstrap-topup.R","b63f0c874c74f09b712f8afc7e4ee5bc","abd6a9a+dirty","360e3609691b","2026-08-21","Monte Carlo SE uses per-replicate planted-item proportions"
"tailored-bootstrap-topup","N=300; I=8; two hardest items guess=0.30; chance=.25; B=399","probability of detecting at least one planted item",80,80,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2625,0.049192701440356,0,0,0,0,"tools/simval/studies/tailored-bootstrap-topup.R","b63f0c874c74f09b712f8afc7e4ee5bc","abd6a9a+dirty","360e3609691b","2026-08-21",""
"tailored-bootstrap-topup","N=300; I=8; two hardest items guess=0.30; chance=.25; B=399","familywise false flag among the six unplanted items",80,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,"tools/simval/studies/tailored-bootstrap-topup.R","b63f0c874c74f09b712f8afc7e4ee5bc","abd6a9a+dirty","360e3609691b","2026-08-21",""
