"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes","max_absolute_curvature_error","mean_relative_error_without_context"
"btl-information-context","2 categories; position=-1.2","agreement with numerical per-comparison likelihood curvature",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/btl-information-context.R","95e75ada06eec5d8f52820148aff98ca","git:86ddf2c+dirty","ad163dd4b295","2026-09-07","fixed object locations and thresholds; 20 response draws per condition; no inference-calibration claim",3.47702775252423e-08,0.17785047254464
"btl-information-context","2 categories; position=0.0","agreement with numerical per-comparison likelihood curvature",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/btl-information-context.R","95e75ada06eec5d8f52820148aff98ca","git:86ddf2c+dirty","ad163dd4b295","2026-09-07","fixed object locations and thresholds; 20 response draws per condition; no inference-calibration claim",3.95054463864231e-08,0.000827903268624708
"btl-information-context","2 categories; position=1.2","agreement with numerical per-comparison likelihood curvature",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/btl-information-context.R","95e75ada06eec5d8f52820148aff98ca","git:86ddf2c+dirty","ad163dd4b295","2026-09-07","fixed object locations and thresholds; 20 response draws per condition; no inference-calibration claim",3.88010042706721e-08,0.16878393335611
"btl-information-context","4 categories; position=-1.2","agreement with numerical per-comparison likelihood curvature",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/btl-information-context.R","95e75ada06eec5d8f52820148aff98ca","git:86ddf2c+dirty","ad163dd4b295","2026-09-07","fixed object locations and thresholds; 20 response draws per condition; no inference-calibration claim",6.18181512646032e-08,0.181032673222243
"btl-information-context","4 categories; position=0.0","agreement with numerical per-comparison likelihood curvature",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/btl-information-context.R","95e75ada06eec5d8f52820148aff98ca","git:86ddf2c+dirty","ad163dd4b295","2026-09-07","fixed object locations and thresholds; 20 response draws per condition; no inference-calibration claim",5.54907083616385e-08,0.000468457685847279
"btl-information-context","4 categories; position=1.2","agreement with numerical per-comparison likelihood curvature",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/btl-information-context.R","95e75ada06eec5d8f52820148aff98ca","git:86ddf2c+dirty","ad163dd4b295","2026-09-07","fixed object locations and thresholds; 20 response draws per condition; no inference-calibration claim",5.58244012127673e-08,0.178230407290676
