"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"efrm-parallel-parity","hybrid_300_workers_2","reported_estimates",300,300,NA,NA,1.64201539431213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/efrm-parallel-parity.R","64574bd4400ad20f64b2746b0b1453ed","e6781f0+dirty","f25f578582a2","2026-08-23","maximum absolute serial/parallel difference; convergence mismatch FALSE; elapsed 85.971s serial and 52.357s parallel; timing is machine-specific"
"efrm-parallel-parity","hybrid_300_default_workers_4","reported_estimates",300,300,NA,NA,2.55843228283189,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/efrm-parallel-parity.R","64574bd4400ad20f64b2746b0b1453ed","e6781f0+dirty","f25f578582a2","2026-08-23","maximum absolute serial/parallel difference; convergence mismatch FALSE; elapsed 85.971s serial and 33.603s parallel; timing is machine-specific"
"efrm-parallel-parity","full_30_workers_2","reported_estimates",30,30,NA,NA,1.35635619886721,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/efrm-parallel-parity.R","64574bd4400ad20f64b2746b0b1453ed","e6781f0+dirty","f25f578582a2","2026-08-23","maximum absolute serial/parallel difference; convergence mismatch FALSE; elapsed 8.621s serial and 6.356s parallel; timing is machine-specific"
