"scenario","replicate","item","intervals","chisq","chisq_p_boot","chisq_p_boot_adj","n_boot_chisq","fit_resid","fit_resid_p_boot","fit_resid_p_boot_adj","n_boot_fit_resid","infit_ms","infit_ms_p_boot","infit_ms_p_boot_adj","n_boot_infit_ms","outfit_ms","outfit_ms_p_boot","outfit_ms_p_boot_adj","n_boot_outfit_ms","infit_z","infit_z_p_boot","infit_z_p_boot_adj","n_boot_infit_z","outfit_z","outfit_z_p_boot","outfit_z_p_boot_adj","n_boot_outfit_z","n_boot","script","script_md5","package_sha","r_tree_md5","executed","harness_md5","algorithm"
"linked booklets",1,"I11",3,3.03524169701578,0.321131447587354,1,600,-0.332380169006732,0.405990016638935,1,600,1.02449938385632,0.435940099833611,1,600,0.973795587845992,0.412645590682196,1,600,0.444746537453406,0.439267886855241,1,600,-0.282498777688661,0.405990016638935,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I12",3,0.159086495378419,0.983361064891847,1,600,0.517735769897841,0.745424292845258,1,600,1.11305785413749,0.442595673876872,1,600,1.06022914114907,0.745424292845258,1,600,1.64070593143056,0.452579034941764,1,600,0.606808453467164,0.745424292845258,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I13",3,2.59367206092129,0.336106489184692,1,600,0.0598775614729751,0.845257903494176,1,600,1.00642783373833,0.339434276206323,1,600,1.00617083650455,0.848585690515807,1,600,0.118454145651157,0.339434276206323,1,600,0.0944378637958903,0.848585690515807,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I14",3,3.58113642467481,0.207986688851913,1,600,-1.32807237960288,0.0166389351081531,0.249584026622296,600,0.913231303188321,0.00998336106489185,0.149750415973378,600,0.816259353682091,0.0399334442595674,0.599001663893511,600,-1.07633277361259,0.00998336106489185,0.149750415973378,600,-1.46300162016295,0.0166389351081531,0.249584026622296,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",1,"I15",3,0.52357031676771,0.900166389351082,1,600,-0.181440187475087,0.765391014975042,1,600,1.07649436844791,0.579034941763727,1,600,0.961500665386387,0.805324459234609,1,600,0.918721458819705,0.582362728785358,1,600,-0.241698504395906,0.772046589018303,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I01",3,1.05295263257162,0.742096505823627,1,600,0.161960320759945,0.748752079866889,1,600,1.05181044159221,0.86522462562396,1,600,1.01330620794245,0.748752079866889,1,600,0.63667094317238,0.838602329450915,1,600,0.140890594200262,0.748752079866889,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I02",3,3.81443897355964,0.168053244592346,1,600,-0.554464465561835,0.349417637271215,1,600,1.03231624388355,0.75540765391015,1,600,0.906958287863301,0.382695507487521,1,600,0.413931168853312,0.772046589018303,1,600,-0.644630471378046,0.346089850249584,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I03",3,0.24913317916681,0.940099833610649,1,600,0.316651453412525,0.911813643926789,1,600,1.09167563831961,0.655574043261231,1,600,1.03612106995115,0.905158069883527,1,600,1.34164947019646,0.635607321131448,1,600,0.384059011197076,0.908485856905158,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I04",3,6.37357288636942,0.0582362728785358,0.873544093178037,600,-1.22966796143002,0.0532445923460899,0.798668885191348,600,0.948139270998056,0.0399334442595674,0.599001663893511,600,0.889695308971682,0.0599001663893511,0.898502495840266,600,-0.831764697705187,0.0465890183028286,0.698835274542429,600,-1.27812469218574,0.0565723793677205,0.848585690515807,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",2,"I05",3,0.282684153498106,0.888519134775374,1,600,0.322767462161298,0.985024958402662,1,600,1.07975790560238,0.835274542429285,1,600,1.03536466066602,0.981697171381032,1,600,1.29288818279522,0.821963394342762,1,600,0.437054915376058,0.985024958402662,1,600,600,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
