"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"explanatory-cluster-jackknife","20 persons; alternating 1/4 rows; null","former HC0 coefficient Type I",500,500,0,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.00817722450465575,0.148426009703017,0.137097925919118,1.08262768169507,0.938,0.0107848041243223,0.062,0.0107848041243223,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/explanatory-cluster-jackknife.R","15829eb88309387817cd4b408fe691fe","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; person-cluster t reference on 19 df; candidate comparison under highly unequal occasion counts"
"explanatory-cluster-jackknife","20 persons; alternating 1/4 rows; null","CR1 candidate coefficient Type I",500,500,0,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.00817722450465575,0.148426009703017,0.140734784987918,1.05465048826244,0.946,0.0101078187557949,0.054,0.0101078187557949,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/explanatory-cluster-jackknife.R","15829eb88309387817cd4b408fe691fe","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; person-cluster t reference on 19 df; candidate comparison under highly unequal occasion counts"
"explanatory-cluster-jackknife","20 persons; alternating 1/4 rows; null","production linearised delete-one-person coefficient Type I",500,500,0,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.00817722450465575,0.148426009703017,0.144450383527528,1.02752243419784,0.95,0.00974679434480897,0.05,0.00974679434480896,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/explanatory-cluster-jackknife.R","15829eb88309387817cd4b408fe691fe","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; person-cluster t reference on 19 df; candidate comparison under highly unequal occasion counts"
"explanatory-cluster-jackknife","20 persons; alternating 1/4 rows; null","delete-one-person jackknife coefficient Type I",500,500,0,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.00817722450465575,0.148426009703017,0.144645361642159,1.02613736118418,0.95,0.00974679434480897,0.05,0.00974679434480896,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/explanatory-cluster-jackknife.R","15829eb88309387817cd4b408fe691fe","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; person-cluster t reference on 19 df; candidate comparison under highly unequal occasion counts"
"explanatory-cluster-jackknife","20 persons; alternating 1/4 rows; beta=0.30","former HC0 coefficient power",500,500,0,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.00615466936526776,0.150646367278741,0.13744761297732,1.09602752652822,0.934,0.0111035129576184,NA,NA,NA,NA,0.56,0.0221990990808186,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/explanatory-cluster-jackknife.R","15829eb88309387817cd4b408fe691fe","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; person-cluster t reference on 19 df; candidate comparison under highly unequal occasion counts"
"explanatory-cluster-jackknife","20 persons; alternating 1/4 rows; beta=0.30","CR1 candidate coefficient power",500,500,0,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.00615466936526776,0.150646367278741,0.141114841766903,1.06754445806333,0.938,0.0107848041243223,NA,NA,NA,NA,0.546,0.0222658482883541,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/explanatory-cluster-jackknife.R","15829eb88309387817cd4b408fe691fe","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; person-cluster t reference on 19 df; candidate comparison under highly unequal occasion counts"
"explanatory-cluster-jackknife","20 persons; alternating 1/4 rows; beta=0.30","production linearised delete-one-person coefficient power",500,500,0,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.00615466936526776,0.150646367278741,0.144647155894164,1.04147479670438,0.944,0.0102824121683582,NA,NA,NA,NA,0.518,0.0223461853567896,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/explanatory-cluster-jackknife.R","15829eb88309387817cd4b408fe691fe","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; person-cluster t reference on 19 df; candidate comparison under highly unequal occasion counts"
"explanatory-cluster-jackknife","20 persons; alternating 1/4 rows; beta=0.30","delete-one-person jackknife coefficient power",500,500,0,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.00615466936526776,0.150646367278741,0.144988848561617,1.039020371382,0.944,0.0102824121683582,NA,NA,NA,NA,0.52,0.0223427840700303,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/explanatory-cluster-jackknife.R","15829eb88309387817cd4b408fe691fe","git:86ddf2c+dirty","5e5486000553","2026-09-07","12 fixed dichotomous items; person-cluster t reference on 19 df; candidate comparison under highly unequal occasion counts"
