"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"btl-efrm-supported-topup","2 panels, 12 judges/panel, 2 sets, 20 repeats/pair","log alpha[set2] bias, SE calibration and coverage",500,500,0,0,NA,-0.0567484763575794,0.164351763627106,0.165719972293202,0.991743851708623,0.934,0.0111035129576184,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-supported-topup.R","1f58bf65d9a4d192773c296596a78135","08675af+dirty","8b2530afb990","2026-08-27","null set-unit ratio; judge bootstrap B=200"
"btl-efrm-supported-topup","2 panels, 12 judges/panel, 2 sets, 20 repeats/pair","raw set-unit Type I",500,500,0,0,NA,NA,NA,NA,NA,NA,NA,0.046,0.00936845771725528,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-supported-topup.R","1f58bf65d9a4d192773c296596a78135","08675af+dirty","8b2530afb990","2026-08-27","null set-unit ratio; judge bootstrap B=200"
"btl-efrm-supported-topup","2 panels, 12 judges/panel, 2 sets, 20 repeats/pair","Holm-adjusted set-unit omnibus Type I",500,500,0,0,NA,NA,NA,NA,NA,NA,NA,0.02,0.00626099033699941,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-supported-topup.R","1f58bf65d9a4d192773c296596a78135","08675af+dirty","8b2530afb990","2026-08-27","null set-unit ratio; judge bootstrap B=200"
"btl-efrm-supported-topup","2 panels, 12 judges/panel, 2 sets, 20 repeats/pair","Holm-adjusted set-unit follow-up Type I",500,500,0,0,NA,NA,NA,NA,NA,NA,NA,0.016,0.00561141693336006,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/btl-efrm-supported-topup.R","1f58bf65d9a4d192773c296596a78135","08675af+dirty","8b2530afb990","2026-08-27","null set-unit ratio; judge bootstrap B=200"
