"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"maxT exchangeability","centred, upper-sided, B=99, family=10","global-null familywise error",20000,20000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04955,0.00153451616967694,NA,NA,0,0,0,0,0,0,"tools/simval/studies/maxt-exchangeability.R","3ef2e384d78ae2f4f9018f6e0e7cbfe2","b5a1605+dirty","f30dbdf98c89","2026-09-03","observed vector and null rows iid normal; each null row standardised against the other B-1 rows"
"maxT exchangeability","centred, two-sided, B=99, family=10","global-null familywise error",20000,20000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05105,0.00155634021826849,NA,NA,0,0,0,0,0,0,"tools/simval/studies/maxt-exchangeability.R","3ef2e384d78ae2f4f9018f6e0e7cbfe2","b5a1605+dirty","f30dbdf98c89","2026-09-03","observed vector and null rows iid normal; each null row standardised against the other B-1 rows"
"maxT exchangeability","studentised, upper-sided, B=99, family=10","global-null familywise error",20000,20000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04895,0.00152567849660405,NA,NA,0,0,0,0,0,0,"tools/simval/studies/maxt-exchangeability.R","3ef2e384d78ae2f4f9018f6e0e7cbfe2","b5a1605+dirty","f30dbdf98c89","2026-09-03","observed vector and null rows iid normal; each null row standardised against the other B-1 rows"
"maxT exchangeability","studentised, two-sided, B=99, family=10","global-null familywise error",20000,20000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0511,0.00155706117413543,NA,NA,0,0,0,0,0,0,"tools/simval/studies/maxt-exchangeability.R","3ef2e384d78ae2f4f9018f6e0e7cbfe2","b5a1605+dirty","f30dbdf98c89","2026-09-03","observed vector and null rows iid normal; each null row standardised against the other B-1 rows"
