"scenario","replicate","B","seed","status","message","warnings","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","same_data_max_error","imposed_count_max_error","min_intervals","max_intervals","total","chisq_marginal","chisq_familywise","fit_resid_marginal","fit_resid_familywise","infit_z_marginal","infit_z_familywise","outfit_z_marginal","outfit_z_familywise","script","script_md5","package_sha","r_tree_md5","executed","harness_md5","algorithm"
"linked booklets",15,600,6000015,"ok","","",600,600,0,0,0,12.0919699737212,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0.133333333333333,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",16,600,6000016,"ok","","",600,600,0,0,0,5.52905823134764,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",17,600,6000017,"ok","","",600,600,0,0,0,5.86981788898044,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0.2,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",18,600,6000018,"ok","","",600,600,0,0,0,11.3795316184463,3,7,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",19,600,6000019,"ok","","",600,600,0,0,0,10.0433312047855,3,7,0,0,0,0.2,0,0.133333333333333,0,0.2,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",20,600,6000020,"ok","","",600,600,0,0,0,9.88037269786055,3,7,0,0.2,0,0.2,0,0.0666666666666667,0,0.2,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",21,600,6000021,"ok","","",600,600,0,0,0,5.37095502086987,3,7,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",22,600,6000022,"ok","","",600,600,0,0,0,8.94325759233711,3,7,0,0.0666666666666667,0,0.133333333333333,0,0.0666666666666667,0,0.133333333333333,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",23,600,6000023,"ok","","",600,600,0,0,0,8.3890180064706,3,7,0,0,0,0.2,0,0,0,0.2,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",24,600,6000024,"ok","","",600,600,0,0,0,5.55968923765803,3,7,0,0,0,0.133333333333333,0,0.0666666666666667,0,0.133333333333333,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",25,600,6000025,"ok","","",600,600,0,0,0,5.74629660561026,3,7,0,0,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",26,600,6000026,"ok","","",600,600,0,0,0,6.2062242181545,3,7,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",27,600,6000027,"ok","","",600,600,0,0,0,7.23467799312925,3,7,0,0,0,0.0666666666666667,0,0,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",28,600,6000028,"ok","","",600,600,0,0,0,8.26357456516975,3,7,0,0,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",29,600,6000029,"ok","","",600,600,0,0,0,6.64415345505463,3,7,0,0.0666666666666667,0,0,0,0,0,0,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
"linked booklets",30,600,6000030,"ok","","",600,600,0,0,0,8.44253814714623,3,7,0,0.2,1,0.0666666666666667,0,0.133333333333333,0,0.0666666666666667,0,"tools/simval/studies/item-fit-bootstrap-intervals.R","32d2bfbfbfc0dbc7485be9255020087a","git:86ddf2c+dirty","c0c325bc7d42","2026-09-07","6302a64bcdb25080c037697186a418d8","loo-maxt-2"
