"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes","max_absolute_reliability_error","minimum_matched_n","maximum_matched_n","n_magnitude_unavailable","mean_original_psi","mean_matched_psi"
"dimensionality-matched-sample","complete_null","matched-sample arithmetic",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dimensionality-matched-sample.R","a1068072a47a56fe807748efb76ebeb2","git:86ddf2c+dirty","80cd77fcc87d","2026-09-07","1200 response rows; eight items in two equal subscales; 20 fixed seeds; checks use an independent reliability calculation; no claim about estimator bias, coverage or rejection rates",1.11022302462516e-16,1200,1200,0,0.489949920609687,0.489949920609687
"dimensionality-matched-sample","complete_bifactor","matched-sample arithmetic",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dimensionality-matched-sample.R","a1068072a47a56fe807748efb76ebeb2","git:86ddf2c+dirty","80cd77fcc87d","2026-09-07","1200 response rows; eight items in two equal subscales; 20 fixed seeds; checks use an independent reliability calculation; no claim about estimator bias, coverage or rejection rates",1.11022302462516e-16,1200,1200,0,0.507450450296816,0.507450450296816
"dimensionality-matched-sample","missing_at_random","matched-sample arithmetic",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dimensionality-matched-sample.R","a1068072a47a56fe807748efb76ebeb2","git:86ddf2c+dirty","80cd77fcc87d","2026-09-07","1200 response rows; eight items in two equal subscales; 20 fixed seeds; checks use an independent reliability calculation; no claim about estimator bias, coverage or rejection rates",1.11022302462516e-16,771,835,0,0.461793283058629,0.489585487196571
"dimensionality-matched-sample","ability_related_missing","matched-sample arithmetic",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dimensionality-matched-sample.R","a1068072a47a56fe807748efb76ebeb2","git:86ddf2c+dirty","80cd77fcc87d","2026-09-07","1200 response rows; eight items in two equal subscales; 20 fixed seeds; checks use an independent reliability calculation; no claim about estimator bias, coverage or rejection rates",5.55111512312578e-17,600,600,0,0.519853214551556,0.285562521185158
"dimensionality-matched-sample","pcm_missing","matched-sample arithmetic",20,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dimensionality-matched-sample.R","a1068072a47a56fe807748efb76ebeb2","git:86ddf2c+dirty","80cd77fcc87d","2026-09-07","1200 response rows; eight items in two equal subscales; 20 fixed seeds; checks use an independent reliability calculation; no claim about estimator bias, coverage or rejection rates",1.11022302462516e-16,776,822,0,0.700181462380773,0.715739998939139
