"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","script","script_md5","package_sha","r_tree_md5","executed","notes"
"person fit bootstrap","PCM, 500 persons x 12 four-category items","person fit-residual marginal Type I error",105,200,95,0,0,39601,33649,0,5952,NA,NA,NA,NA,NA,NA,NA,0.0407844641664281,0.000855558407371104,NA,NA,NA,NA,0.475,0.0353111172295638,0,0,0,0,"tools/simval/studies/person-fit-bootstrap-pcm-topup.R","bf537752b95aa53b0ec456aeb4ef139a","0b76116+dirty","1276623a1f23","2026-09-01","B = 199; score-conditional null; at least 90% usable required when B >= 30; 0 of 39601 bootstrap refits did not converge; 5952 otherwise failed"
"person fit bootstrap","PCM, 500 persons x 12 four-category items","person fit-residual joint-adjusted familywise error",105,200,95,0,0,39601,33649,0,5952,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0761904761904762,0.0258908859728752,NA,NA,0.475,0.0353111172295638,0,0,0,0,"tools/simval/studies/person-fit-bootstrap-pcm-topup.R","bf537752b95aa53b0ec456aeb4ef139a","0b76116+dirty","1276623a1f23","2026-09-01","B = 199; maximum-statistic adjustment; at least 90% usable required when B >= 30; 0 of 39601 bootstrap refits did not converge; 5952 otherwise failed"
