"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"anchored-estimation","PCM, mixed maximum scores, threshold and location anchors","free item-location recovery",250,250,NA,0,0,NA,0,NA,NA,NA,NA,NA,0.0221345391119566,0.0969032857676402,0.0964749423361466,1.00278224641905,0.946,0.00677146544778717,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,"tools/simval/studies/anchored-estimation.R","b1fd106131141c5b76e966cad99bd69c","git:97c45fd+dirty","ae784f3ee517","2026-09-04","bias is the maximum absolute item bias; the SE ratio is the mean itemwise ratio; coverage and standard errors are conditional on exact external anchor values; a replicate is marked metric-unavailable when any reported free-item SE is withheld"
"anchored-estimation","PCM, mixed maximum scores, threshold and location anchors","maximum absolute anchor error",250,250,NA,0,0,NA,NA,NA,NA,NA,NA,NA,5.55111512312578e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/anchored-estimation.R","b1fd106131141c5b76e966cad99bd69c","git:97c45fd+dirty","ae784f3ee517","2026-09-04","fixed thresholds and location means should be exact to numerical tolerance"
"anchored-estimation","PCM, two disconnected four-item blocks, one true anchor per block","free item-location recovery",250,250,NA,0,0,NA,1,NA,NA,NA,NA,NA,0.0125927965235283,0.185264415056599,0.178322928372661,1.03989895063404,0.935066666666667,0.00841825432028409,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.004,0.00399199198395989,"tools/simval/studies/anchored-estimation.R","b1fd106131141c5b76e966cad99bd69c","git:97c45fd+dirty","ae784f3ee517","2026-09-04","bias is the maximum absolute item bias; the SE ratio is the mean itemwise ratio; coverage and standard errors are conditional on exact external anchor values; a replicate is marked metric-unavailable when any reported free-item SE is withheld"
"anchored-estimation","PCM, two disconnected four-item blocks, one true anchor per block","maximum absolute anchor error",250,250,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/anchored-estimation.R","b1fd106131141c5b76e966cad99bd69c","git:97c45fd+dirty","ae784f3ee517","2026-09-04","fixed thresholds and location means should be exact to numerical tolerance"
"anchored-estimation","BTL, seven objects, two true fixed anchors","free object-location recovery",500,500,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.0181033630260799,0.235511346307788,0.232262944892869,1.01388745745604,0.9432,0.00551437545632746,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/anchored-estimation.R","b1fd106131141c5b76e966cad99bd69c","git:97c45fd+dirty","ae784f3ee517","2026-09-04","bias is the maximum absolute object bias; the SE ratio is the mean objectwise ratio; coverage and standard errors are conditional on exact external anchor values"
"anchored-estimation","BTL, seven objects, two true fixed anchors","maximum absolute anchor error",500,500,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/anchored-estimation.R","b1fd106131141c5b76e966cad99bd69c","git:97c45fd+dirty","ae784f3ee517","2026-09-04","fixed object locations should be exact to numerical tolerance"
