"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"chained-linking","chain 3-5-7, N = 300 per year | direct (year5/year3, shared anchor)","log phi ratio",200,200,0,NA,NA,-0.00932331417403068,0.118520684988506,0.20497316009563,0.578225387817654,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/chained-linking.R","2359450fa81fca2cc7cc7cc34e5a38d0","ffe1afb+dirty","f1f916f64837","2026-08-20","recovered 1.238 vs planted 1.250"
"chained-linking","chain 3-5-7, N = 300 per year | indirect (year7/year3, no shared item)","log phi ratio",200,200,0,NA,NA,-0.0170150988845121,0.171208225095276,0.278552881774915,0.614634549836108,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/chained-linking.R","2359450fa81fca2cc7cc7cc34e5a38d0","ffe1afb+dirty","f1f916f64837","2026-08-20","recovered 1.536 vs planted 1.562"
"chained-linking","chain 3-5-7, N = 700 per year | direct (year5/year3, shared anchor)","log phi ratio",200,200,0,NA,NA,0.00919853145543864,0.0797715473993054,0.0743310542919472,1.07319273430442,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/chained-linking.R","2359450fa81fca2cc7cc7cc34e5a38d0","ffe1afb+dirty","f1f916f64837","2026-08-20","recovered 1.262 vs planted 1.250"
"chained-linking","chain 3-5-7, N = 700 per year | indirect (year7/year3, no shared item)","log phi ratio",200,200,0,NA,NA,0.00672561202853456,0.11452432032462,0.0874967395670462,1.30889814742026,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/chained-linking.R","2359450fa81fca2cc7cc7cc34e5a38d0","ffe1afb+dirty","f1f916f64837","2026-08-20","recovered 1.573 vs planted 1.562"
"chained-linking","chain 3-5-7, N = 2000 per year | direct (year5/year3, shared anchor)","log phi ratio",200,200,0,NA,NA,-0.000847308027770721,0.0507334637167956,0.0437846673102833,1.1587038758858,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/chained-linking.R","2359450fa81fca2cc7cc7cc34e5a38d0","ffe1afb+dirty","f1f916f64837","2026-08-20","recovered 1.249 vs planted 1.250"
"chained-linking","chain 3-5-7, N = 2000 per year | indirect (year7/year3, no shared item)","log phi ratio",200,200,0,NA,NA,0.00284209570365695,0.0679758989142049,0.0514842896523065,1.32032313883075,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"tools/simval/studies/chained-linking.R","2359450fa81fca2cc7cc7cc34e5a38d0","ffe1afb+dirty","f1f916f64837","2026-08-20","recovered 1.567 vs planted 1.562"
